% Ozone absorption coefficient, 1/cm
% nm, 1/cm
 624, 9.8335e-002 
 625, 9.6723e-002 
 626, 9.5702e-002 
 627, 9.4681e-002 
 628, 9.3660e-002 
 629, 9.2639e-002 
 630, 9.1618e-002 
 631, 9.0329e-002 
 632, 8.9039e-002 
 633, 8.7749e-002 
 634, 8.6460e-002 
 635, 8.5170e-002 
 636, 8.2859e-002 
 637, 8.0549e-002 
 638, 7.8238e-002 
 639, 7.5928e-002 
 640, 7.3617e-002 
 641, 7.2918e-002 
 642, 7.2220e-002 
 643, 7.1521e-002 
 644, 7.0823e-002 
 645, 7.0124e-002 
 646, 6.9103e-002 
 647, 6.8082e-002 
 648, 6.7061e-002 
 649, 6.6040e-002 
 650, 6.5019e-002 
 651, 6.3837e-002 
 652, 6.2655e-002 
 653, 6.1473e-002 
 654, 6.0291e-002 
 655, 5.9109e-002 
 656, 5.8141e-002 
 657, 5.7174e-002 
 658, 5.6207e-002 
 659, 5.5240e-002 
 660, 5.4272e-002 
 661, 5.3359e-002 
 662, 5.2445e-002 
 663, 5.1532e-002 
 664, 5.0618e-002 
 665, 4.9705e-002 
 666, 4.8738e-002 
 667, 4.7770e-002 
 668, 4.6803e-002 
 669, 4.5836e-002 
 670, 4.4869e-002 
 671, 4.4170e-002 
 672, 4.3472e-002 
 673, 4.2773e-002 
 674, 4.2075e-002 
 675, 4.1376e-002 
 676, 4.0731e-002 
 677, 4.0086e-002 
 678, 3.9441e-002 
 679, 3.8797e-002 
 680, 3.8152e-002 
 681, 3.7238e-002 
 682, 3.6325e-002 
 683, 3.5411e-002 
 684, 3.4498e-002 
 685, 3.3584e-002 
 686, 3.2886e-002 
 687, 3.2187e-002 
 688, 3.1489e-002 
 689, 3.0790e-002 
 690, 3.0092e-002 
 691, 2.9554e-002 
 692, 2.9017e-002 
 693, 2.8480e-002 
 694, 2.7942e-002 
 695, 2.7405e-002 
 696, 2.6867e-002 
 697, 2.6330e-002 
 698, 2.5793e-002 
 699, 2.5256e-002 
 700, 2.4718e-002 
 701, 2.4288e-002 
 702, 2.3858e-002 
 703, 2.3429e-002 
 704, 2.2999e-002 
 705, 2.2569e-002 
 706, 2.2193e-002 
 707, 2.1816e-002 
 708, 2.1440e-002 
 709, 2.1064e-002 
 710, 2.0688e-002 
 711, 2.0258e-002 
 712, 1.9828e-002 
 713, 1.9398e-002 
 714, 1.8968e-002 
 715, 1.8539e-002 
 716, 1.8216e-002 
 717, 1.7894e-002 
 718, 1.7571e-002 
 719, 1.7249e-002 
 720, 1.6927e-002 
 721, 1.6604e-002 
 722, 1.6282e-002 
 723, 1.5959e-002 
 724, 1.5637e-002 
 725, 1.5315e-002 
 726, 1.5073e-002 
 727, 1.4831e-002 
 728, 1.4589e-002 
 729, 1.4347e-002 
 730, 1.4105e-002 
 731, 1.3837e-002 
 732, 1.3568e-002 
 733, 1.3299e-002 
 734, 1.3031e-002 
 735, 1.2762e-002 
 736, 1.2612e-002 
 737, 1.2461e-002 
 738, 1.2311e-002 
 739, 1.2160e-002 
 740, 1.2010e-002 
 741, 1.1865e-002 
 742, 1.1720e-002 
 743, 1.1575e-002 
 744, 1.1429e-002 
 745, 1.1284e-002 
 746, 1.1043e-002 
 747, 1.0801e-002 
 748, 1.0559e-002 
 749, 1.0317e-002 
 750, 1.0075e-002 
 751, 9.8066e-003 
 752, 9.5380e-003 
 753, 9.2693e-003 
 754, 9.0006e-003 
 755, 8.7319e-003 
 756, 8.5546e-003 
 757, 8.3773e-003 
 758, 8.2000e-003 
 759, 8.0226e-003 
 760, 7.8453e-003 
 761, 7.7593e-003 
 762, 7.6734e-003 
 763, 7.5874e-003 
 764, 7.5014e-003 
 765, 7.4154e-003 
 766, 7.3832e-003 
 767, 7.3510e-003 
 768, 7.3187e-003 
 769, 7.2865e-003 
 770, 7.2542e-003 
 771, 7.3080e-003 
 772, 7.3617e-003 
 773, 7.4154e-003 
 774, 7.4692e-003 
 775, 7.5229e-003 
 776, 7.5498e-003 
 777, 7.5766e-003 
 778, 7.6035e-003 
 779, 7.6304e-003 
 780, 7.6572e-003 
 781, 7.4799e-003 
 782, 7.3026e-003 
 783, 7.1253e-003 
 784, 6.9479e-003 
 785, 6.7706e-003 
 786, 6.5987e-003 
 787, 6.4267e-003 
 788, 6.2547e-003 
 789, 6.0828e-003 
 790, 5.9108e-003 
 791, 5.7067e-003 
 792, 5.5025e-003 
 793, 5.2983e-003 
 794, 5.0941e-003 
 795, 4.8899e-003 
 796, 4.7878e-003 
 797, 4.6857e-003 
 798, 4.5836e-003 
 799, 4.4815e-003 
 800, 4.3794e-003 
 801, 4.4439e-003 
 802, 4.5084e-003 
 803, 4.5728e-003 
 804, 4.6373e-003 
 805, 4.7018e-003 
 806, 4.7824e-003 
 807, 4.8630e-003 
 808, 4.9436e-003 
 809, 5.0242e-003 
 810, 5.1048e-003 
 811, 5.0780e-003 
 812, 5.0511e-003 
 813, 5.0242e-003 
 814, 4.9974e-003 
 815, 4.9705e-003 
 816, 4.8899e-003 
 817, 4.8093e-003 
 818, 4.7287e-003 
 819, 4.6481e-003 
 820, 4.5675e-003 
 821, 4.4707e-003 
 822, 4.3740e-003 
 823, 4.2773e-003 
 824, 4.1806e-003 
 825, 4.0839e-003 
 826, 4.0301e-003 
 827, 3.9764e-003 
 828, 3.9227e-003 
 829, 3.8689e-003 
 830, 3.8152e-003 
 831, 3.8044e-003 
 832, 3.7937e-003 
 833, 3.7829e-003 
 834, 3.7722e-003 
 835, 3.7614e-003 
 836, 3.7614e-003 
 837, 3.7614e-003 
 838, 3.7614e-003 
 839, 3.7614e-003 
 840, 3.7614e-003 
 841, 3.7722e-003 
 842, 3.7829e-003 
 843, 3.7937e-003 
 844, 3.8044e-003 
 845, 3.8152e-003 
 846, 3.8313e-003 
 847, 3.8474e-003 
 848, 3.8635e-003 
 849, 3.8797e-003 
 850, 3.8958e-003 
 851, 3.8179e-003 
 852, 3.7400e-003 
 853, 3.6620e-003 
 854, 3.5841e-003 
 855, 3.5062e-003 
 856, 3.4283e-003 
 857, 3.3504e-003 
 858, 3.2725e-003 
 859, 3.1946e-003 
 860, 3.1166e-003 
 861, 3.0387e-003 
 862, 2.9608e-003 
 863, 2.8829e-003 
 864, 2.8050e-003 
 865, 2.7271e-003 
 866, 2.6491e-003 
 867, 2.5712e-003 
 868, 2.4933e-003 
 869, 2.4154e-003 
 870, 2.3375e-003 
 871, 2.2596e-003 
 872, 2.1816e-003 
 873, 2.1037e-003 
 874, 2.0258e-003 
 875, 1.9479e-003 
 876, 1.8700e-003 
 877, 1.7921e-003 
 878, 1.7142e-003 
 879, 1.6362e-003 
 880, 1.5583e-003 
 881, 1.4804e-003 
 882, 1.4025e-003 
 883, 1.3246e-003 
 884, 1.2467e-003 
 885, 1.1687e-003 
 886, 1.0908e-003 
 887, 1.0129e-003 
 888, 9.3499e-004 
 889, 8.5707e-004 
 890, 7.7916e-004 
 891, 7.0124e-004 
 892, 6.2333e-004 
 893, 5.4541e-004 
 894, 4.6750e-004 
 895, 3.8958e-004 
 896, 3.1166e-004 
 897, 2.3375e-004 
 898, 1.5583e-004 
 899, 7.7916e-005 
 900, 0.0000e+000 
