     199.12      7.48
     199.48      7.60
     199.84      7.79
     200.20      7.90
     200.56      8.04
     200.92      8.19
     201.29      8.49
     201.65      8.75
     202.01      8.88
     202.37      8.92
     202.73      9.10
     203.09      9.49
     203.45      9.85
     203.81     10.29
     204.17     10.65
     204.53     11.05
     204.89     11.30
     205.24     11.33
     205.60     11.31
     205.96     11.34
     206.32     11.62
     206.68     12.16
     207.04     12.87
     207.40     13.48
     207.75     13.98
     208.11     14.63
     208.47     15.79
     208.83     17.78
     209.19     20.18
     209.54     22.96
     209.90     25.81
     210.26     28.13
     210.61     30.03
     210.97     31.88
     211.33     34.93
     211.68     36.78
     212.04     37.09
     212.40     34.80
     212.75     33.32
     213.11     33.07
     213.46     35.07
     213.82     37.96
     214.17     41.38
     214.53     43.15
     214.88     42.79
     215.24     40.80
     215.59     39.15
     215.95     37.41
     216.30     36.25
     216.66     35.12
     217.01     34.74
     217.37     36.55
     217.72     41.08
     218.07     45.89
     218.43     48.23
     218.78     48.59
     219.13     48.88
     219.49     50.38
     219.84     52.84
     220.19     53.39
     220.54     50.93
     220.90     45.88
     221.25     42.10
     221.60     42.41
     221.95     46.15
     222.31     50.24
     222.66     54.31
     223.01     59.73
     223.36     65.28
     223.71     67.59
     224.06     66.09
     224.41     62.99
     224.76     60.88
     225.11     58.63
     225.47     55.66
     225.82     51.51
     226.17     46.75
     226.52     41.57
     226.87     37.69
     227.22     37.59
     227.56     41.71
     227.91     48.08
     228.26     52.83
     228.61     54.13
     228.96     52.91
     229.31     50.52
     229.66     48.76
     230.01     49.85
     230.36     52.74
     230.70     54.50
     231.05     53.87
     231.40     51.69
     231.75     52.12
     232.09     53.83
     232.44     54.54
     232.79     52.25
     233.14     49.41
     233.48     46.06
     233.83     43.15
     234.18     39.92
     234.52     39.23
     234.87     42.61
     235.22     48.61
     235.56     52.57
     235.91     52.30
     236.25     49.77
     236.60     49.28
     236.94     50.48
     237.63     49.70
     237.98     45.89
     238.32     42.46
     238.67     43.53
     239.01     45.30
     239.36     46.13
     239.70     44.24
     240.05     42.31
     240.39     40.86
     240.73     40.18
     241.08     41.70
     241.42     47.56
     241.76     56.52
     242.11     64.75
     242.45     68.14
     243.14     69.48
     243.48     67.74
     243.82     66.50
     244.16     65.82
     244.50     63.63
     246.21     47.46
     246.55     48.81
     246.89     51.53
     247.24     54.12
     247.58     54.58
     247.92     52.43
     248.26     48.43
     248.60     44.40
     248.94     44.19
     249.28     48.86
     249.62     56.28
     249.96     61.32
     250.30     61.80
     250.64     58.73
     250.97     54.45
     251.31     50.03
     251.65     45.25
     251.99     42.11
     252.33     40.92
     252.67     42.32
     253.01     45.09
     253.34     49.03
     253.68     52.54
     254.02     55.24
     254.36     57.11
     254.70     60.80
     255.03     66.95
     255.37     75.80
     256.04     89.79
     256.38     96.64
     256.72    108.39
     257.05    118.72
     257.39    125.62
     257.73    128.53
     258.06    129.16
     258.40    129.15
     258.73    126.70
     259.07    122.03
     259.40    111.33
     259.74    100.88
     260.07     90.19
     260.41     87.80
     260.74     85.44
     261.08     84.07
     261.41     85.14
     261.75     94.09
     262.08    102.66
     262.41    106.18
     262.75    103.02
     263.08    109.39
     263.42    138.37
     263.75    188.75
     264.08    234.80
     264.41    254.45
     264.75    251.10
     265.08    245.15
     265.41    251.53
     265.75    263.60
     266.08    265.83
     266.41    257.29
     266.74    249.69
     267.07    252.27
     267.40    256.47
     267.74    258.24
     268.07    257.37
     268.40    254.42
     268.73    250.76
     269.06    246.54
     269.39    244.67
     269.72    251.71
     270.05    267.06
     270.38    278.07
     270.71    279.74
     271.04    269.16
     271.37    248.50
     271.70    222.22
     272.03    199.66
     272.36    195.87
     272.69    212.43
     273.02    228.48
     273.35    222.04
     273.68    195.18
     274.01    163.57
     274.33    141.48
     274.66    137.81
     274.99    145.21
     275.32    165.63
     275.65    191.89
     275.97    221.48
     276.30    242.79
     276.63    257.03
     276.96    261.06
     277.28    256.48
     277.61    238.49
     277.94    212.40
     278.26    185.07
     278.59    161.26
     278.92    138.04
     279.24    111.71
     279.57     89.60
     279.89     78.62
     280.22     81.59
     280.54     98.52
     280.87    128.13
     281.20    167.49
     281.52    209.74
     281.85    247.73
     282.17    276.40
     282.49    298.24
     282.82    313.40
     283.14    320.92
     283.47    323.17
     283.79    317.63
     284.12    301.04
     284.44    266.44
     284.76    211.75
     285.09    160.51
     285.41    147.16
     285.73    183.78
     286.06    250.80
     286.38    309.52
     286.70    346.32
     287.02    363.79
     287.35    365.41
     287.67    341.44
     287.99    313.14
     288.31    305.44
     288.63    334.51
     288.95    382.22
     289.28    432.78
     289.60    482.81
     289.92    542.06
     290.24    592.08
     290.56    615.28
     290.88    616.08
     291.20    604.39
     291.52    592.26
     291.84    577.60
     292.16    553.50
     292.48    528.89
     292.80    528.00
     293.12    542.45
     293.44    551.57
     293.76    542.65
     294.08    525.97
     294.40    514.24
     294.72    518.58
     295.03    526.12
     295.35    539.47
     295.67    563.90
     295.99    577.51
     296.31    551.81
     296.63    503.66
     296.94    463.17
     297.26    478.82
     297.58    526.12
     297.90    539.76
     298.21    501.38
     298.53    461.58
     298.85    458.67
     299.16    496.97
     299.48    512.25
     299.80    481.21
     300.11    439.27
     300.43    417.22
     300.74    426.75
     301.06    463.15
     301.38    480.70
     301.69    460.55
     302.01    437.37
     302.32    448.63
     302.64    506.21
     302.95    591.47
     303.27    642.91
     303.58    644.77
     303.89    623.99
     304.21    605.86
     304.52    608.96
     304.84    638.85
     305.15    649.98
     305.46    625.97
     305.78    594.64
     306.09    566.06
