sample1,,sample2,
Wavelength (nm),%T,Wavelength (nm),%T
2165.7,0.064007841,2165.7,0.066642642
2165.6,0.068532772,2165.6,0.072686203
2165.5,0.06786003,2165.5,0.072003149
2165.4,0.065879643,2165.4,0.073422715
2165.3,0.072686441,2165.3,0.076029658
2165.2,0.073443122,2165.2,0.074896231
2165.1,0.076013349,2165.1,0.082796767
2165.0,0.079864942,2165.0,0.082809635
2164.9,0.081319377,2164.9,0.088453121
2164.8,0.082799703,2164.8,0.088025585
2164.7,0.083473898,2164.7,0.089420788
2164.6,0.082019426,2164.6,0.094770201
2164.5,0.090682171,2164.5,0.095156789
2164.4,0.092500992,2164.4,0.092445247
2164.3,0.093940608,2164.3,0.101081193
2164.2,0.100743271,2164.2,0.101484321
2164.1,0.100722186,2164.1,0.102915637
2164.0,0.10709028,2164.0,0.107417643
2163.9,0.106349833,2163.9,0.110862337
2163.8,0.108187914,2163.8,0.115294732
2163.7,0.111086689,2163.7,0.115239203
2163.6,0.116873764,2163.6,0.11831452
2163.5,0.121667437,2163.5,0.124813572
2163.4,0.125014544,2163.4,0.129498422
2163.3,0.125948042,2163.3,0.129107088
2163.2,0.132767737,2163.2,0.132925794
2163.1,0.136661455,2163.1,0.136478365
2163.0,0.13998276,2163.0,0.141345784
2162.9,0.141103759,2162.9,0.145121053
2162.8,0.147260398,2162.8,0.151135847
2162.7,0.152729362,2162.7,0.161351651
2162.6,0.161210954,2162.6,0.163562343
2162.5,0.162626669,2162.5,0.16636692
2162.4,0.169020385,2162.4,0.174140155
2162.3,0.176452845,2162.3,0.17723918
2162.2,0.182123497,2162.2,0.180970952
2162.1,0.190633535,2162.1,0.187923729
2162.0,0.19599013,2162.0,0.195948124
2161.9,0.20028241,2161.9,0.198944911
2161.8,0.208873704,2161.8,0.209735632
2161.7,0.217744261,2161.7,0.213200524
2161.6,0.223366469,2161.6,0.221050605
2161.5,0.230419606,2161.5,0.230373308
2161.4,0.24078007,2161.4,0.241474628
2161.3,0.244585499,2161.3,0.244134709
2161.2,0.255273193,2161.2,0.25628373
2161.1,0.268788368,2161.1,0.262291551
2161.0,0.277143657,2161.0,0.267572403
2160.9,0.287111253,2160.9,0.281672239
2160.8,0.296628594,2160.8,0.291869521
2160.7,0.30715695,2160.7,0.296250254
2160.6,0.32147032,2160.6,0.319233298
2160.5,0.331662715,2160.5,0.328116417
2160.4,0.340662777,2160.4,0.333885998
2160.3,0.356469899,2160.3,0.343772501
2160.2,0.368932128,2160.2,0.357726365
2160.1,0.391110361,2160.1,0.376627445
2160.0,0.40325889,2160.0,0.391705751
2159.9,0.414186955,2159.9,0.400281459
2159.8,0.439864755,2159.8,0.415855736
2159.7,0.4565593,2159.7,0.433815777
2159.6,0.478661418,2159.6,0.456492245
2159.5,0.488337189,2159.5,0.463726431
2159.4,0.508351088,2159.4,0.481421828
2159.3,0.531965792,2159.3,0.499935269
2159.2,0.566188574,2159.2,0.524997413
2159.1,0.578882158,2159.1,0.549313724
2159.0,0.605517566,2159.0,0.571704865
2158.9,0.632724106,2158.9,0.585746348
2158.8,0.661663413,2158.8,0.618356049
2158.7,0.684712291,2158.7,0.64035815
2158.6,0.718884587,2158.6,0.666647732
2158.5,0.745555222,2158.5,0.691968501
2158.4,0.779543519,2158.4,0.728724122
2158.3,0.83796829,2158.3,0.764225006
2158.2,0.865100861,2158.2,0.796412885
2158.1,0.904908121,2158.1,0.83799082
2158.0,0.946625769,2158.0,0.86386472
2157.9,0.996136665,2157.9,0.910132945
2157.8,1.031934381,2157.8,0.944967926
2157.7,1.071722865,2157.7,0.986121953
2157.6,1.11903429,2157.6,1.012937307
2157.5,1.19365108,2157.5,1.083127737
2157.4,1.254436493,2157.4,1.129636765
2157.3,1.296297789,2157.3,1.176917553
2157.2,1.382333636,2157.2,1.246940613
2157.1,1.451456904,2157.1,1.29414618
2157.0,1.524436712,2157.0,1.366565347
2156.9,1.576031566,2156.9,1.421384335
2156.8,1.675971746,2156.8,1.501113176
2156.7,1.749243379,2156.7,1.565274835
2156.6,1.863654137,2156.6,1.678410888
2156.5,1.955221176,2156.5,1.737400889
2156.4,2.069723606,2156.4,1.846532583
2156.3,2.159256935,2156.3,1.926684618
2156.2,2.288487196,2156.2,2.047198534
2156.1,2.36215353,2156.1,2.121902943
2156.0,2.450180292,2156.0,2.195539951
2155.9,2.604157925,2155.9,2.338982105
2155.8,2.745934963,2155.8,2.442735672
2155.7,2.884763002,2155.7,2.615534544
2155.6,3.025647879,2155.6,2.718516827
2155.5,3.183800697,2155.5,2.860778332
2155.4,3.340173244,2155.4,3.017519712
2155.3,3.563862562,2155.3,3.208152294
2155.2,3.688013554,2155.2,3.342000008
2155.1,3.849654198,2155.1,3.493962526
2155.0,4.084518909,2155.0,3.696341038
2154.9,4.32998085,2154.9,3.93639946
2154.8,4.499409676,2154.8,4.141382694
2154.7,4.73614502,2154.7,4.292016983
2154.6,4.978340626,2154.6,4.530008316
2154.5,5.185509682,2154.5,4.808479309
2154.4,5.409061909,2154.4,5.017799377
2154.3,5.620389938,2154.3,5.154391766
2154.2,5.91769886,2154.2,5.417891026
2154.1,6.130261421,2154.1,5.750815868
2154.0,6.485667706,2154.0,6.012609482
2153.9,6.729540348,2153.9,6.290870667
2153.8,7.04613924,2153.8,6.60681963
2153.7,7.318405628,2153.7,6.874582291
2153.6,7.731285572,2153.6,7.325191975
2153.5,7.945536137,2153.5,7.475152016
2153.4,8.244235039,2153.4,7.853806973
2153.3,8.684488297,2153.3,8.159925461
2153.2,8.993094444,2153.2,8.648975372
2153.1,9.457005501,2153.1,8.989742279
2153.0,9.804665565,2153.0,9.302178383
2152.9,10.20420265,2152.9,9.889460564
2152.8,10.64788723,2152.8,10.15564156
2152.7,10.97677898,2152.7,10.59844875
2152.6,11.25293255,2152.6,10.92293262
2152.5,11.76601696,2152.5,11.29963112
2152.4,12.00721741,2152.4,11.61694145
2152.3,12.68591881,2152.3,12.30310631
2152.2,13.0975914,2152.2,12.75833893
2152.1,13.41378117,2152.1,13.05120564
2152.0,13.90191936,2152.0,13.55270576
2151.9,14.53958607,2151.9,14.26477909
2151.8,14.93793106,2151.8,14.59661388
2151.7,15.25899792,2151.7,14.93535233
2151.6,15.74822807,2151.6,15.48654556
2151.5,16.40253639,2151.5,16.20472145
2151.4,17.06255531,2151.4,16.84646225
2151.3,17.44814873,2151.3,17.20369339
2151.2,18.02547646,2151.2,17.82875443
2151.1,18.58624458,2151.1,18.42142105
2151.0,19.16666412,2151.0,18.98051643
2150.9,19.56958389,2150.9,19.37505531
2150.8,20.0414505,2150.8,19.90276337
2150.7,20.59252739,2150.7,20.47974205
2150.6,21.41274834,2150.6,21.23418236
2150.5,21.90013885,2150.5,21.8405304
2150.4,22.36351395,2150.4,22.30309296
2150.3,23.17869949,2150.3,23.19354057
2150.2,23.84802818,2150.2,23.79133797
2150.1,24.28781509,2150.1,24.34655571
2150.0,24.81081009,2150.0,24.85260963
2149.9,25.56604767,2149.9,25.61638069
2149.8,26.1279335,2149.8,26.19306755
2149.7,26.93823051,2149.7,26.99283028
2149.6,27.47177124,2149.6,27.64392281
2149.5,28.24727631,2149.5,28.4099884
