sample1,,sample2,,
Wavelength (nm),%T,Wavelength (nm),%T,
2169.5,0.02818381973,2169.5,0.03351226822,
2169.399902,0.03055193275,2169.399902,0.02940193191,
2169.300049,0.03053915314,2169.300049,0.0305275321,
2169.199951,0.02826778591,2169.199951,0.02864907123,
2169.100098,0.02829453349,2169.100098,0.03164730966,
2169,0.02825991623,2169,0.03651959449,
2168.899902,0.02488275617,2168.899902,0.03052448481,
2168.800049,0.03014940023,2168.800049,0.0338967368,
2168.699951,0.02862119861,2168.699951,0.03725755587,
2168.600098,0.02938276716,2168.600098,0.03540115431,
2168.5,0.03499620408,2168.5,0.03761863708,
2168.399902,0.0301131662,2168.399902,0.03801032156,
2168.300049,0.03424919397,2168.300049,0.03840594739,
2168.199951,0.03426073864,2168.199951,0.03915370256,
2168.100098,0.03460565582,2168.100098,0.0368626751,
2168,0.03425411507,2168,0.04214334115,
2167.899902,0.03799392655,2167.899902,0.03609329462,
2167.800049,0.03687909618,2167.800049,0.04288421571,
2167.699951,0.03724523261,2167.699951,0.04252276197,
2167.600098,0.04246345162,2167.600098,0.0484681353,
2167.5,0.04513406754,2167.5,0.04398266226,
2167.399902,0.04248286411,2167.399902,0.04713603482,
2167.300049,0.04205546156,2167.300049,0.04914500192,
2167.199951,0.03948330879,2167.199951,0.04964506999,
2167.100098,0.04811795801,2167.100098,0.0503308624,
2167,0.05034863576,2167,0.05259319022,
2166.899902,0.04733813554,2166.899902,0.05297959596,
2166.800049,0.05033084378,2166.800049,0.0514831394,
2166.699951,0.05119841173,2166.699951,0.05559361354,
2166.600098,0.05556964874,2166.600098,0.05745919049,
2166.5,0.05330367014,2166.5,0.05934517831,
2166.399902,0.05387814716,2166.399902,0.05962029099,
2166.300049,0.05179382116,2166.300049,0.06215827912,
2166.199951,0.05514410883,2166.199951,0.06066080928,
2166.100098,0.06089815125,2166.100098,0.06519280374,
2166,0.05805839226,2166,0.06442320347,
2165.899902,0.05848328769,2165.899902,0.0640783757,
2165.800049,0.06307704747,2165.800049,0.06408065557,
2165.699951,0.06400784105,2165.699951,0.06664264202,
2165.600098,0.06853277236,2165.600098,0.07268620282,
2165.5,0.06786002964,2165.5,0.0720031485,
2165.399902,0.06587964296,2165.399902,0.07342271507,
2165.300049,0.07268644124,2165.300049,0.07602965832,
2165.199951,0.07344312221,2165.199951,0.07489623129,
2165.100098,0.076013349,2165.100098,0.08279676735,
2165,0.07986494154,2165,0.08280963451,
2164.899902,0.08131937683,2164.899902,0.08845312148,
2164.800049,0.08279970288,2164.800049,0.08802558482,
2164.699951,0.08347389847,2164.699951,0.08942078799,
2164.600098,0.08201942593,2164.600098,0.09477020055,
2164.5,0.09068217129,2164.5,0.09515678883,
2164.399902,0.09250099212,2164.399902,0.09244524688,
2164.300049,0.0939406082,2164.300049,0.1010811925,
2164.199951,0.1007432714,2164.199951,0.1014843211,
2164.100098,0.1007221863,2164.100098,0.1029156372,
2164,0.1070902795,2164,0.1074176431,
2163.899902,0.1063498333,2163.899902,0.1108623371,
2163.800049,0.1081879139,2163.800049,0.1152947322,
2163.699951,0.1110866889,2163.699951,0.115239203,
2163.600098,0.1168737635,2163.600098,0.1183145195,
2163.5,0.1216674373,2163.5,0.1248135716,
2163.399902,0.1250145435,2163.399902,0.1294984221,
2163.300049,0.1259480417,2163.300049,0.1291070879,
2163.199951,0.1327677369,2163.199951,0.1329257935,
2163.100098,0.136661455,2163.100098,0.1364783645,
2163,0.13998276,2163,0.1413457841,
2162.899902,0.1411037594,2162.899902,0.1451210529,
2162.800049,0.1472603977,2162.800049,0.151135847,
2162.699951,0.1527293622,2162.699951,0.161351651,
2162.600098,0.1612109542,2162.600098,0.1635623425,
2162.5,0.1626266688,2162.5,0.1663669199,
2162.399902,0.1690203846,2162.399902,0.1741401553,
2162.300049,0.1764528453,2162.300049,0.1772391796,
2162.199951,0.1821234971,2162.199951,0.1809709519,
