24Aug2008   UT:     std:3
wvlmicr    airmass_range    V0_calc    V0_prev   pctdiff_V0  tau_calc   RSD_calc
 0.4994    1.8007-11.9713    9.1513     8.9393     2.3715     0.0093     0.0010
 0.5204    1.8007-11.9713   10.5221    10.4401     0.7855     0.0106     0.0010
 0.6058    1.8007-11.9713    6.2847     6.2606     0.3857     0.0068     0.0007
 0.6751    1.8007-11.9347    7.0057     7.0055     0.0033     0.0051     0.0009
 0.7791    1.8007-11.9713    6.2907     6.2604     0.4838     0.0059     0.0007
 0.8645    1.8007-11.7546    7.5920     7.6417    -0.6498     0.0036     0.0013
 1.0191    1.8007-11.7546    7.9062     7.8985     0.0980     0.0041     0.0007
 1.2413    1.8007-11.9713    8.3271     8.4481    -1.4317     0.0055     0.0008
 1.5585    1.8007-11.9713    8.6416     8.7061    -0.7408     0.0030     0.0011
 2.1391    1.8007-11.9713    6.3816     6.4441    -0.9704     0.0061     0.0010


31Aug2008   UT:     std:3
wvlmicr    airmass_range    V0_calc    V0_prev   pctdiff_V0  tau_calc   RSD_calc
 0.3535    3.0016-11.8620   11.0352    10.9392     0.8779     0.0155     0.0013
 0.3800    3.0016-11.9713    9.6345     9.5113     1.2958     0.0157     0.0011
 0.4512    3.0016-11.9713    4.8015     4.8356    -0.7054     0.0099     0.0011
 0.4994    3.0016-11.9713    9.1749     8.9393     2.6358     0.0096     0.0007
 0.5204    3.0016-11.9713   10.5466    10.4401     1.0199     0.0109     0.0007
 0.6058    3.0016-11.9713    6.2941     6.2606     0.5346     0.0070     0.0006
 0.6751    3.0016-11.9713    7.0228     7.0055     0.2466     0.0055     0.0006
 0.7791    3.0016-11.9713    6.3017     6.2604     0.6602     0.0061     0.0005
 0.8645    3.0016-11.9713    7.6197     7.6417    -0.2877     0.0042     0.0007
 1.0191    3.0016-11.9713    7.9220     7.8985     0.2969     0.0044     0.0006
 1.2413    3.0016-11.9713    8.3444     8.4481    -1.2270     0.0059     0.0006
 1.5585    3.0016-11.9713    8.6619     8.7061    -0.5082     0.0033     0.0007
 2.1391    3.0016-11.9713    6.3977     6.4441    -0.7194     0.0065     0.0006


01Sep2008   UT:     std:3
wvlmicr    airmass_range    V0_calc    V0_prev   pctdiff_V0  tau_calc   RSD_calc
 0.3535    1.2001-10.0350   11.0300    10.9392     0.8300     0.0125     0.0007
 0.3800    1.2001-11.9950    9.5782     9.5113     0.7038     0.0123     0.0010
 0.4512    1.2001-11.7506    4.7719     4.8356    -1.3173     0.0067     0.0014
 0.4994    1.2001-11.9950    9.1669     8.9393     2.5460     0.0083     0.0004
 0.5204    1.2001-11.9582   10.5432    10.4401     0.9879     0.0088     0.0004
 0.6058    1.2001-11.9950    6.2902     6.2606     0.4721     0.0047     0.0004
 0.6751    1.2001- 8.6320    6.9911     7.0055    -0.2058     0.0037     0.0005
 0.7791    1.2001-11.6364    6.2909     6.2604     0.4875     0.0051     0.0006
 0.8645    1.2001- 4.8735    7.5654     7.6417    -0.9987     0.0017     0.0004
 1.0191    1.2001- 6.5691    7.8948     7.8985    -0.0472     0.0045     0.0003
 1.2413    1.2001- 5.6459    8.2852     8.4481    -1.9285     0.0048     0.0003
 1.5585    1.2001-11.6364    8.6198     8.7061    -0.9915     0.0039     0.0013
 2.1391    1.2001- 6.6852    6.3223     6.4441    -1.8905     0.0074     0.0006


01Sep2008   UT:     std:3
wvlmicr    airmass_range    V0_calc    V0_prev   pctdiff_V0  tau_calc   RSD_calc
 0.3535    1.5001-10.0350   11.0365    10.9392     0.8898     0.0127     0.0007
 0.3800    1.5001-11.9950    9.5858     9.5113     0.7828     0.0124     0.0009
 0.4512    1.5001-11.9950    4.7794     4.8356    -1.1631     0.0071     0.0013
 0.4994    1.5001-11.9582    9.1688     8.9393     2.5679     0.0083     0.0005
 0.5204    1.5001-11.8490   10.5468    10.4401     1.0217     0.0088     0.0005
 0.6058    1.5001-11.9950    6.2922     6.2606     0.5042     0.0048     0.0004
 0.6751    1.5001-11.7506    6.9983     7.0055    -0.1027     0.0040     0.0006
 0.7791    1.5001-11.9950    6.2946     6.2604     0.5466     0.0052     0.0006
 0.8645    1.5001- 5.2604    7.5725     7.6417    -0.9059     0.0021     0.0004
 1.0191    1.5001-11.6364    7.9036     7.8985     0.0648     0.0049     0.0005
 1.2413    1.5001-11.1355    8.3007     8.4481    -1.7449     0.0055     0.0008
 1.5585    1.5001-11.8131    8.6302     8.7061    -0.8724     0.0041     0.0011
 2.1391    1.5001-11.7064    6.3327     6.4441    -1.7290     0.0080     0.0011


01Sep2008   UT:     std:3
wvlmicr    airmass_range    V0_calc    V0_prev   pctdiff_V0  tau_calc   RSD_calc
 0.3535    1.8002- 9.2598   11.0411    10.9392     0.9318     0.0128     0.0007
 0.3800    1.8002-11.9950    9.5909     9.5113     0.8373     0.0125     0.0010
 0.4512    1.8002-11.9950    4.7840     4.8356    -1.0672     0.0072     0.0012
 0.4994    1.8002-11.9582    9.1714     8.9393     2.5967     0.0084     0.0005
 0.5204    1.8002-11.8490   10.5488    10.4401     1.0409     0.0089     0.0005
 0.6058    1.8002-11.9950    6.2935     6.2606     0.5248     0.0048     0.0005
 0.6751    1.8002-11.9950    7.0020     7.0055    -0.0504     0.0041     0.0006
 0.7791    1.8002-11.9950    6.2972     6.2604     0.5881     0.0053     0.0006
 0.8645    1.8002-11.6364    7.5985     7.6417    -0.5648     0.0033     0.0010
 1.0191    1.8002-11.6364    7.9067     7.8985     0.1042     0.0050     0.0005
 1.2413    1.8002-11.6713    8.3068     8.4481    -1.6722     0.0057     0.0007
 1.5585    1.8002-11.8131    8.6385     8.7061    -0.7768     0.0042     0.0009
 2.1391    1.8002-11.8131    6.3380     6.4441    -1.6472     0.0082     0.0011



01Sep2008   UT:     std:3
wvlmicr    airmass_range    V0_calc    V0_prev   pctdiff_V0  tau_calc   RSD_calc
 0.3535    2.0000- 8.8114   11.0462    10.9392     0.9778     0.0129     0.0007
 0.3800    2.0000-11.9950    9.5945     9.5113     0.8752     0.0126     0.0009
 0.4512    2.0000-11.9950    4.7870     4.8356    -1.0052     0.0073     0.0011
 0.4994    2.0000-11.8490    9.1733     8.9393     2.6180     0.0085     0.0005
 0.5204    2.0000-11.8490   10.5501    10.4401     1.0538     0.0089     0.0005
 0.6058    2.0000-11.9950    6.2942     6.2606     0.5366     0.0048     0.0005
 0.6751    2.0000-11.9950    7.0041     7.0055    -0.0194     0.0042     0.0006
 0.7791    2.0000-11.9950    6.2988     6.2604     0.6131     0.0053     0.0006
 0.8645    2.0000-11.6364    7.6032     7.6417    -0.5042     0.0034     0.0010
 1.0191    2.0000-11.8131    7.9088     7.8985     0.1308     0.0050     0.0006
 1.2413    2.0000-11.6713    8.3099     8.4481    -1.6358     0.0057     0.0007
 1.5585    2.0000-11.8852    8.6427     8.7061    -0.7287     0.0043     0.0009
 2.1391    2.0000-11.8131    6.3410     6.4441    -1.5992     0.0082     0.0010

