24Aug2008   UT:     std:3
wvlmicr    airmass_range    V0_calc    V0_prev   pctdiff_V0  tau_calc   RSD_calc
 0.3800    1.8006-11.9783    9.6007     9.5113     0.9400     0.0129     0.0007
 0.4512    1.8006-11.9783    4.8048     4.8356    -0.6378     0.0072     0.0010
 0.4994    1.8006-11.8695    9.1258     8.9393     2.0865     0.0080     0.0003
 0.5204    1.8006-11.8337   10.5241    10.4401     0.8050     0.0089     0.0003
 0.6058    1.8006-11.8695    6.2500     6.2606    -0.1700     0.0057     0.0003
 0.6751    1.8006- 9.4915    6.9990     7.0055    -0.0933     0.0041     0.0003
 0.7791    1.8006-11.9783    6.2980     6.2604     0.6011     0.0052     0.0003
 0.8645    1.8006- 5.7369    7.5943     7.6417    -0.6202     0.0025     0.0002
 1.0191    1.8006- 7.3585    7.8916     7.8985    -0.0873     0.0040     0.0002
 1.2413    1.8006- 7.3585    8.3394     8.4481    -1.2868     0.0053     0.0003
 1.5585    1.8006-11.9783    8.6367     8.7061    -0.7971     0.0034     0.0009
 2.1391    1.8006-11.9783    6.3946     6.4441    -0.7683     0.0071     0.0007


26Aug2008   UT:     std:5
wvlmicr    airmass_range    V0_calc    V0_prev   pctdiff_V0  tau_calc   RSD_calc
 0.3535    1.2001-10.9565   10.9860    10.9392     0.4275     0.0132     0.0018
 0.3800    1.2001-11.9639    9.5713     9.5113     0.6306     0.0130     0.0012
 0.4512    1.2001-11.9639    4.7853     4.8356    -1.0402     0.0075     0.0013
 0.4994    1.2001-11.9639    9.1096     8.9393     1.9052     0.0083     0.0011
 0.5204    1.3103-11.9639   10.4841    10.4401     0.4213     0.0097     0.0011
 0.6058    1.2112-11.9639    6.2340     6.2606    -0.4255     0.0065     0.0007
 0.6751    1.2001-11.9639    6.9924     7.0055    -0.1867     0.0048     0.0007
 0.7791    1.2001-11.9639    6.2910     6.2604     0.4895     0.0055     0.0007
 0.8645    1.2001-11.9639    7.5838     7.6417    -0.7576     0.0032     0.0013
 1.0191    1.2001-11.9639    7.8945     7.8985    -0.0502     0.0040     0.0006
 1.2413    1.2001-11.9639    8.3352     8.4481    -1.3358     0.0052     0.0010
 1.5585    1.2044-11.9639    8.6185     8.7061    -1.0064     0.0027     0.0012
 2.1391    1.2001-11.9639    6.3859     6.4441    -0.9035     0.0056     0.0015

26Aug2008   UT:     std:3
wvlmicr    airmass_range    V0_calc    V0_prev   pctdiff_V0  tau_calc   RSD_calc
 0.3535    1.2001- 9.8684   10.9904    10.9392     0.4680     0.0134     0.0017
 0.3800    1.2001-11.9275    9.5716     9.5113     0.6341     0.0130     0.0011
 0.4512    1.2001- 7.7537    4.7802     4.8356    -1.1467     0.0070     0.0010
 0.4994    1.2001-11.9275    9.1100     8.9393     1.9093     0.0083     0.0011
 0.5204    1.3103-11.9275   10.4846    10.4401     0.4260     0.0098     0.0010
 0.6058    1.2112-11.9639    6.2340     6.2606    -0.4256     0.0065     0.0007
 0.6751    1.2003-11.9639    6.9922     7.0055    -0.1896     0.0048     0.0007
 0.7791    1.2001-11.9639    6.2904     6.2604     0.4797     0.0055     0.0006
 0.8645    1.2001- 6.9857    7.5713     7.6417    -0.9216     0.0025     0.0006
 1.0191    1.2001-11.8553    7.8940     7.8985    -0.0564     0.0040     0.0006
 1.2413    1.2001- 6.9857    8.3239     8.4481    -1.4706     0.0046     0.0005
 1.5585    1.2044-11.5404    8.6175     8.7061    -1.0177     0.0026     0.0012
 2.1391    1.2001-11.6436    6.3851     6.4441    -0.9162     0.0056     0.0014


26Aug2008   UT:     std:3
wvlmicr    airmass_range    V0_calc    V0_prev   pctdiff_V0  tau_calc   RSD_calc
 0.3535    1.5003-10.1803   10.9844    10.9392     0.4132     0.0133     0.0018
 0.3800    1.5003-11.9639    9.5717     9.5113     0.6354     0.0130     0.0013
 0.4512    1.5003-11.9639    4.7891     4.8356    -0.9615     0.0076     0.0014
 0.4994    1.5003-11.9639    9.1062     8.9393     1.8665     0.0082     0.0011
 0.5204    1.5003-11.9639   10.4839    10.4401     0.4200     0.0097     0.0011
 0.6058    1.5003-11.9639    6.2349     6.2606    -0.4103     0.0065     0.0007
 0.6751    1.5003-11.9639    6.9946     7.0055    -0.1555     0.0049     0.0007
 0.7791    1.5003-11.9639    6.2926     6.2604     0.5145     0.0056     0.0006
 0.8645    1.5003-11.2089    7.5882     7.6417    -0.7007     0.0033     0.0011
 1.0191    1.5003-11.9639    7.8966     7.8985    -0.0238     0.0040     0.0006
 1.2413    1.5003-11.2737    8.3384     8.4481    -1.2983     0.0052     0.0009
 1.5585    1.5003-11.9639    8.6255     8.7061    -0.9257     0.0028     0.0011
 2.1391    1.5003-11.9639    6.3915     6.4441    -0.8161     0.0058     0.0015


26Aug2008   UT:     std:3
wvlmicr    airmass_range    V0_calc    V0_prev   pctdiff_V0  tau_calc   RSD_calc
 0.3535    1.8004-10.1803   10.9830    10.9392     0.4001     0.0132     0.0019
 0.3800    1.8004-11.7839    9.5765     9.5113     0.6855     0.0131     0.0011
 0.4512    1.8004-11.9639    4.7939     4.8356    -0.8623     0.0078     0.0010
 0.4994    1.8004-11.9639    9.1065     8.9393     1.8708     0.0082     0.0011
 0.5204    1.8004-11.9639   10.4833    10.4401     0.4141     0.0097     0.0012
 0.6058    1.8004-11.9639    6.2367     6.2606    -0.3823     0.0065     0.0007
 0.6751    1.8004-11.9639    6.9975     7.0055    -0.1141     0.0049     0.0006
 0.7791    1.8004-11.9639    6.2951     6.2604     0.5541     0.0056     0.0006
 0.8645    1.8004-11.5404    7.5960     7.6417    -0.5981     0.0035     0.0010
 1.0191    1.8004-11.9639    7.8986     7.8985     0.0011     0.0041     0.0006
 1.2413    1.8004-11.6436    8.3453     8.4481    -1.2165     0.0054     0.0009
 1.5585    1.8004-11.9639    8.6319     8.7061    -0.8521     0.0029     0.0011
 2.1391    1.8004-11.9639    6.3971     6.4441    -0.7293     0.0059     0.0015


27Aug2008   UT:     std:3
wvlmicr    airmass_range    V0_calc    V0_prev   pctdiff_V0  tau_calc   RSD_calc
 0.3535    1.2002- 9.3417   11.0205    10.9392     0.7434     0.0161     0.0013
 0.3800    1.2002- 9.3190    9.5849     9.5113     0.7734     0.0158     0.0013
 0.4512    1.2002- 8.9918    4.7802     4.8356    -1.1452     0.0094     0.0013
 0.4994    1.2002- 9.3417    9.1328     8.9393     2.1645     0.0100     0.0008
 0.5204    1.2002- 9.3417   10.5375    10.4401     0.9333     0.0114     0.0007
 0.6058    1.2002- 9.3417    6.2950     6.2606     0.5487     0.0076     0.0006
 0.6751    1.2002- 9.0129    7.0025     7.0055    -0.0433     0.0054     0.0007
 0.7791    1.2002- 9.1854    6.2827     6.2604     0.3568     0.0061     0.0004
 0.8645    1.2002- 8.6862    7.5727     7.6417    -0.9025     0.0035     0.0009
 1.0191    1.2002- 9.0129    7.8954     7.8985    -0.0387     0.0040     0.0004
 1.2413    1.2002- 8.6862    8.3364     8.4481    -1.3222     0.0052     0.0006
 1.5585    1.2002- 9.0129    8.5621     8.7061    -1.6541     0.0026     0.0011
 2.1391    1.2002- 8.9918    6.3846     6.4441    -0.9228     0.0053     0.0008


27Aug2008   UT:     std:3
