% Radiance calibration [Resp in cts/ms / W/(m^2.sr.um)] for 4STAR NIR spectrometer (512 channels) measured on 20130506 and generated on 2013-09-17 09:47. 
% Also requires calibrated radiance from 20130605124300HISS. 
% Calibration used only data with 9-lamps and 9 ms (vis), 140 ms (nir). 
Pix  Wavelength     resp       rate        rad 
77   1085.03  1.38747619e-01 1.46796726e+02 1.05801257e+03 
78   1086.75  1.38564429e-01 1.46277475e+02 1.05566396e+03 
79   1088.47  1.40442858e-01 1.47930998e+02 1.05331806e+03 
80   1090.19  1.40994251e-01 1.48173743e+02 1.05092045e+03 
81   1091.90  1.43860709e-01 1.50777670e+02 1.04808096e+03 
82   1093.61  1.44365720e-01 1.50897506e+02 1.04524471e+03 
83   1095.33  1.47505123e-01 1.53761067e+02 1.04241170e+03 
84   1097.03  1.48424299e-01 1.54299217e+02 1.03958192e+03 
85   1098.74  1.51292297e-01 1.56853097e+02 1.03675534e+03 
86   1100.45  1.52693391e-01 1.57818505e+02 1.03356474e+03 
87   1102.15  1.56946998e-01 1.61552024e+02 1.02934128e+03 
88   1103.85  1.58160751e-01 1.62134157e+02 1.02512258e+03 
89   1105.55  1.61785196e-01 1.65167902e+02 1.02090863e+03 
90   1107.25  1.63043894e-01 1.65766629e+02 1.01669940e+03 
91   1108.94  1.66048696e-01 1.68123455e+02 1.01249488e+03 
92   1110.64  1.66935691e-01 1.68229261e+02 1.00774891e+03 
93   1112.33  1.69375138e-01 1.69730656e+02 1.00209900e+03 
94   1114.02  1.68901176e-01 1.68302483e+02 9.96455369e+02 
95   1115.70  1.71031469e-01 1.69461057e+02 9.90817992e+02 
96   1117.39  1.70356391e-01 1.67832877e+02 9.85186850e+02 
97   1119.07  1.71507965e-01 1.68002672e+02 9.79561920e+02 
98   1120.76  1.72037961e-01 1.67696414e+02 9.74764018e+02 
99   1122.44  1.74524465e-01 1.69458839e+02 9.70974693e+02 
100  1124.12  1.74946176e-01 1.69206108e+02 9.67189519e+02 
101  1125.79  1.78025994e-01 1.71511753e+02 9.63408480e+02 
102  1127.47  1.79932546e-01 1.72668951e+02 9.59631563e+02 
103  1129.14  1.82452065e-01 1.74398403e+02 9.55858753e+02 
104  1130.81  1.80041857e-01 1.71429792e+02 9.52166318e+02 
105  1132.48  1.79989919e-01 1.70730987e+02 9.48558609e+02 
106  1134.15  1.79051025e-01 1.69195125e+02 9.44954795e+02 
107  1135.81  1.80948650e-01 1.70336892e+02 9.41354862e+02 
108  1137.48  1.84179938e-01 1.72716357e+02 9.37758796e+02 
109  1139.14  1.86551894e-01 1.74270546e+02 9.34166585e+02 
110  1140.80  1.84858094e-01 1.71982250e+02 9.30347417e+02 
111  1142.46  1.84402644e-01 1.70809432e+02 9.26285157e+02 
112  1144.12  1.81635911e-01 1.67509581e+02 9.22227219e+02 
113  1145.77  1.82007333e-01 1.67114326e+02 9.18173588e+02 
114  1147.43  1.81589797e-01 1.65995637e+02 9.14124250e+02 
115  1149.08  1.82138316e-01 1.65760291e+02 9.10079190e+02 
116  1150.73  1.81083921e-01 1.64159092e+02 9.06535991e+02 
117  1152.38  1.82303650e-01 1.64734472e+02 9.03626841e+02 
118  1154.02  1.81453172e-01 1.63438636e+02 9.00720741e+02 
119  1155.67  1.83642211e-01 1.64877224e+02 8.97817682e+02 
120  1157.31  1.82768235e-01 1.63562520e+02 8.94917652e+02 
121  1158.95  1.83490144e-01 1.63676996e+02 8.92020642e+02 
122  1160.59  1.82871287e-01 1.62606651e+02 8.89186346e+02 
123  1162.23  1.83338844e-01 1.62522695e+02 8.86460778e+02 
124  1163.87  1.81377566e-01 1.60290252e+02 8.83738027e+02 
125  1165.50  1.81787214e-01 1.60157823e+02 8.81018084e+02 
126  1167.13  1.80790433e-01 1.58788407e+02 8.78300939e+02 
127  1168.76  1.80747269e-01 1.58259883e+02 8.75586582e+02 
128  1170.39  1.78993282e-01 1.56186695e+02 8.72584113e+02 
129  1172.02  1.78797684e-01 1.55316594e+02 8.68672293e+02 
130  1173.65  1.77870576e-01 1.53816152e+02 8.64764459e+02 
131  1175.27  1.78068784e-01 1.53292400e+02 8.60860596e+02 
132  1176.90  1.76574631e-01 1.51317518e+02 8.56960692e+02 
133  1178.52  1.76142950e-01 1.50261338e+02 8.53064732e+02 
134  1180.14  1.74319579e-01 1.48020661e+02 8.49133885e+02 
135  1181.75  1.73579490e-01 1.46637286e+02 8.44784637e+02 
136  1183.37  1.71043264e-01 1.43751559e+02 8.40439757e+02 
137  1184.99  1.70540982e-01 1.42589184e+02 8.36099229e+02 
138  1186.60  1.68916595e-01 1.40498580e+02 8.31763039e+02 
139  1188.21  1.67499051e-01 1.38593936e+02 8.27431172e+02 
140  1189.82  1.65692021e-01 1.36381702e+02 8.23103614e+02 
141  1191.43  1.66629403e-01 1.36570218e+02 8.19604560e+02 
142  1193.04  1.65444078e-01 1.35037554e+02 8.16212679e+02 
143  1194.64  1.66448472e-01 1.35293337e+02 8.12824147e+02 
144  1196.24  1.66016853e-01 1.34380508e+02 8.09438953e+02 
145  1197.85  1.66289185e-01 1.34038575e+02 8.06057085e+02 
146  1199.45  1.65847791e-01 1.33122462e+02 8.02678534e+02 
147  1201.05  1.66652360e-01 1.33379290e+02 8.00344446e+02 
148  1202.64  1.66228441e-01 1.32743954e+02 7.98563428e+02 
149  1204.24  1.66728534e-01 1.32846652e+02 7.96784145e+02 
150  1205.83  1.65665093e-01 1.31704840e+02 7.95006589e+02 
151  1207.43  1.66111483e-01 1.31764737e+02 7.93230755e+02 
152  1209.02  1.66593541e-01 1.31851564e+02 7.91456638e+02 
153  1210.61  1.67495324e-01 1.32341913e+02 7.90123026e+02 
154  1212.19  1.66992536e-01 1.31840956e+02 7.89502090e+02 
155  1213.78  1.68001824e-01 1.32533573e+02 7.88881749e+02 
156  1215.37  1.68136449e-01 1.32535574e+02 7.88262003e+02 
157  1216.95  1.68942573e-01 1.33066409e+02 7.87642848e+02 
158  1218.53  1.69749190e-01 1.33596735e+02 7.87024283e+02 
159  1220.11  1.71009703e-01 1.34479058e+02 7.86382616e+02 
160  1221.69  1.71386509e-01 1.34612187e+02 7.85430477e+02 
161  1223.27  1.72561363e-01 1.35370807e+02 7.84479239e+02 
162  1224.84  1.73586413e-01 1.36009971e+02 7.83528899e+02 
163  1226.42  1.75059541e-01 1.36998000e+02 7.82579454e+02 
164  1227.99  1.75981556e-01 1.37552622e+02 7.81630901e+02 
165  1229.56  1.76843285e-01 1.38058588e+02 7.80683238e+02 
166  1231.13  1.76441786e-01 1.37547092e+02 7.79560759e+02 
167  1232.70  1.77514364e-01 1.38172162e+02 7.78371725e+02 
168  1234.27  1.78020853e-01 1.38354923e+02 7.77183799e+02 
169  1235.84  1.78990110e-01 1.38895784e+02 7.75996976e+02 
170  1237.40  1.79109183e-01 1.38775811e+02 7.74811252e+02 
171  1238.96  1.78712320e-01 1.38256609e+02 7.73626626e+02 
172  1240.52  1.78376350e-01 1.37771756e+02 7.72365595e+02 
173  1242.08  1.80633190e-01 1.39259570e+02 7.70952277e+02 
174  1243.64  1.80593026e-01 1.38973604e+02 7.69540258e+02 
175  1245.20  1.80558115e-01 1.38692020e+02 7.68129532e+02 
176  1246.75  1.81386105e-01 1.39072371e+02 7.66720095e+02 
